MOVIMIENTO POR DOCUMENTO Y CUENTA,,,,,,,,,,,Fecha Impresión: 02/09/2024 01:56:26 p.m.
CONSORCIO AMERICAN LIGHTING
Periodo consultado: 01/01/2023 a 02/09/2024
Rango de cuentas: 5 a 9
Libro: Principal
Centros de costo: Todos

Tipo Registro,Cuenta Contable,Cuenta Contable Nombre,Id. Interno,Tipo Doc.,Consecutivo,Fecha,Centro Costos,NIT,Débito,Crédito
2,51050301,SALARIO INTEGRAL,5704,NP,24030002,31/03/2024,01010101,70193534,3333333.00,0.00
2,51050301,SALARIO INTEGRAL,5755,NP,24040001,19/04/2024,01010101,70193534,20000000.00,0.00
2,51050301,SALARIO INTEGRAL,6856,NP,24050001,22/05/2024,01010101,70193534,20000000.00,0.00
2,51050301,SALARIO INTEGRAL,8003,NP,24060001,30/06/2024,01010101,70193534,20000000.00,0.00
2,51050301,SALARIO INTEGRAL,9073,NP,24070001,31/07/2024,01010101,70193534,20000000.00,0.00
2,51050601,SUELDOS,5378,NP,23010001,15/01/2023,02010102,40943774,580000.00,0.00
2,51050601,SUELDOS,5378,NP,23010001,15/01/2023,02010102,84083857,1105638.00,0.00
2,51050601,SUELDOS,5437,NP,23010003,31/01/2023,02010102,84083857,1105638.00,0.00
2,51050601,SUELDOS,5437,NP,23010003,31/01/2023,02010102,40943774,580000.00,0.00
2,51050601,SUELDOS,5263,NP,23020002,28/02/2023,02010102,84083857,2653531.00,0.00
2,51050601,SUELDOS,5263,NP,23020002,28/02/2023,02010102,40943774,1160000.00,0.00
2,51050601,SUELDOS,5380,NP,23030001,31/03/2023,02010102,40943774,1121334.00,0.00
2,51050601,SUELDOS,5380,NP,23030001,31/03/2023,02010102,84083857,2432404.00,0.00
2,51050601,SUELDOS,5438,NP,23040002,30/04/2023,02010102,40943774,1160000.00,0.00
2,51050601,SUELDOS,5438,NP,23040002,30/04/2023,02010102,84083857,2432404.00,0.00
2,51050601,SUELDOS,5439,NP,23050001,31/05/2023,02010102,40943774,1082667.00,0.00
2,51050601,SUELDOS,5439,NP,23050001,31/05/2023,02010102,84083857,2432404.00,0.00
2,51050601,SUELDOS,5381,NP,23060001,30/06/2023,02010102,40943774,1160000.00,0.00
2,51050601,SUELDOS,5381,NP,23060001,30/06/2023,02010102,84083857,2432404.00,0.00
2,51050601,SUELDOS,5323,NP,23070001,31/07/2023,02010102,84083857,2432404.00,0.00
2,51050601,SUELDOS,5323,NP,23070001,31/07/2023,02010102,40943774,1160000.00,0.00
2,51050601,SUELDOS,5382,NP,23080002,31/08/2023,02010102,40943774,1160000.00,0.00
2,51050601,SUELDOS,5382,NP,23080002,31/08/2023,02010102,84083857,2432404.00,0.00
2,51050601,SUELDOS,2360,NP,23090001,30/09/2023,02010102,40943774,1160000.00,0.00
2,51050601,SUELDOS,2360,NP,23090001,30/09/2023,02010102,84083857,2432404.00,0.00
2,51050601,SUELDOS,2361,NP,23100001,31/10/2023,02010102,40943774,1160000.00,0.00
2,51050601,SUELDOS,2361,NP,23100001,31/10/2023,02010102,84083857,2432404.00,0.00
2,51050601,SUELDOS,2420,NP,23110001,27/11/2023,02010102,40943774,1160000.00,0.00
2,51050601,SUELDOS,2420,NP,23110001,27/11/2023,02010102,84083857,2432404.00,0.00
2,51050601,SUELDOS,2470,NP,23120001,11/12/2023,02010102,40943774,1121333.00,0.00
2,51050601,SUELDOS,2470,NP,23120001,11/12/2023,02010102,84083857,2027003.00,0.00
2,51050601,SUELDOS,4844,NP,24010001,17/01/2024,02010102,40943774,1300000.00,0.00
2,51050601,SUELDOS,4844,NP,24010001,17/01/2024,02010102,84083857,2432404.00,0.00
2,51050601,SUELDOS,5571,NP,24020003,21/02/2024,02010102,40943774,1213333.00,0.00
2,51050601,SUELDOS,5571,NP,24020003,21/02/2024,02010102,84083857,810801.00,0.00
2,51050601,SUELDOS,5668,NP,24030001,21/03/2024,02010102,40943774,1300000.00,0.00
2,51050601,SUELDOS,5668,NP,24030001,21/03/2024,02010102,84083857,308916.00,0.00
2,51050601,SUELDOS,5668,NP,24030001,21/03/2024,02010102,84083857,2500633.00,0.00
2,51050601,SUELDOS,5755,NP,24040001,19/04/2024,02010102,40943774,1300000.00,0.00
2,51050601,SUELDOS,5755,NP,24040001,19/04/2024,02010102,84083857,2586862.00,0.00
2,51050601,SUELDOS,6856,NP,24050001,22/05/2024,02010102,40943774,1300000.00,0.00
2,51050601,SUELDOS,6856,NP,24050001,22/05/2024,02010102,84083857,2586862.00,0.00
2,51050601,SUELDOS,8003,NP,24060001,30/06/2024,02010102,40943774,1300000.00,0.00
2,51050601,SUELDOS,8003,NP,24060001,30/06/2024,02010102,84083857,2586862.00,0.00
2,51050601,SUELDOS,9073,NP,24070001,31/07/2024,02010102,40943774,1256667.00,0.00
2,51050601,SUELDOS,9073,NP,24070001,31/07/2024,02010102,84083857,2586862.00,0.00
2,51052401,INCAPACIDADES,5439,NP,23050001,31/05/2023,02010102,40943774,77333.00,0.00
2,51052402,LICENCIA,2470,NP,23120001,11/12/2023,02010102,40943774,38667.00,0.00
2,51052402,LICENCIA,2470,NP,23120001,11/12/2023,02010102,84083857,405401.00,0.00
2,51052402,LICENCIA,5571,NP,24020003,21/02/2024,02010102,84083857,81080.00,0.00
2,51052402,LICENCIA,9073,NP,24070001,31/07/2024,02010102,40943774,43333.00,0.00
2,51052701,AUXILIO DE TRANSPORTE,5378,NP,23010001,15/01/2023,02010102,84083857,70303.00,0.00
