No. Comprobante;Fecha de elaboración;Identificación;Nombre cliente;Valor bruto;Descuento;Subtotal;Impuesto cargo;Impuesto retención;Cargo en totales;Descuento en totales;Total
FV-6-1530;06/12/2023;901736720;CONSORCIO JP CLEMENCIA;33.617.647,12;0,00;33.617.647,12;6.178.352,95;840.441,18;0,00;0,00;39.796.000,07
FV-6-1573;10/12/2023;901736720;CONSORCIO JP CLEMENCIA;12.310.084,04;0,00;12.310.084,04;2.338.915,97;307.752,10;0,00;0,00;14.649.000,01
FV-6-1602;28/12/2023;901736720;CONSORCIO JP CLEMENCIA;1.218.487,39;0,00;1.218.487,39;231.512,61;30.462,18;0,00;0,00;1.450.000,00
FV-6-1571;15/12/2023;900696212;JAOBRECOL S.A.S;8.042.017,08;0,00;8.042.017,08;1.527.983,24;201.050,43;0,00;0,00;9.570.000,32
FV-6-1395;18/10/2023;901237303;M.L.P PROYECTOS Y SOLUCIONES S.A.S;2.436.974,79;0,00;2.436.974,79;463.025,21;60.924,37;0,00;0,00;2.900.000,00
FV-6-1429;01/11/2023;901237303;M.L.P PROYECTOS Y SOLUCIONES S.A.S;1.718.067,33;0,00;1.718.067,33;326.432,80;42.951,68;0,00;0,00;2.044.500,13
FV-6-1442;04/11/2023;901237303;M.L.P PROYECTOS Y SOLUCIONES S.A.S;3.245.798,45;0,00;3.245.798,45;616.701,71;81.144,96;0,00;0,00;3.862.500,16
FV-6-1491;29/11/2023;901237303;M.L.P PROYECTOS Y SOLUCIONES S.A.S;2.521.008,40;0,00;2.521.008,40;478.991,60;63.025,21;0,00;0,00;3.000.000,00
FV-6-1492;29/11/2023;901237303;M.L.P PROYECTOS Y SOLUCIONES S.A.S;1.411.764,71;0,00;1.411.764,71;268.235,29;35.294,12;0,00;0,00;1.680.000,00
FV-6-1525;06/12/2023;901237303;M.L.P PROYECTOS Y SOLUCIONES S.A.S;2.441.176,64;0,00;2.441.176,64;463.823,57;61.029,42;0,00;0,00;2.843.970,79
FV-6-1583;19/12/2023;901237303;M.L.P PROYECTOS Y SOLUCIONES S.A.S;2.521.008,40;0,00;2.521.008,40;478.991,60;63.025,21;0,00;0,00;3.000.000,00
FV-6-1612;30/12/2023;901237303;M.L.P PROYECTOS Y SOLUCIONES S.A.S;1.705.882,35;0,00;1.705.882,35;324.117,65;42.647,06;0,00;0,00;2.030.000,00
FV-6-1224;25/08/2023;900437679;SOLUCIONES INTEGRALES Y COMBUSTIBLES S.A.S;2.008.403,47;0,00;2.008.403,47;381.596,66;50.210,09;0,00;0,00;2.390.000,13
FV-6-1288;13/09/2023;900437679;SOLUCIONES INTEGRALES Y COMBUSTIBLES S.A.S;2.008.403,47;0,00;2.008.403,47;381.596,66;50.210,09;0,00;0,00;2.390.000,13
FV-9-58;15/05/2023;900727477;CONSTRUCTORA OH SAS;2.521.008,40;0,00;2.521.008,40;478.991,60;63.025,21;0,00;0,00;3.000.000,00
NC-2-28;15/05/2023;900727477;CONSTRUCTORA OH SAS;-2.521.008,40;0,00;-2.521.008,40;-478.991,60;-63.025,21;0,00;0,00;-3.000.000,00
FV-6-998;15/05/2023;900727477;CONSTRUCTORA OH SAS;2.521.008,40;0,00;2.521.008,40;478.991,60;63.025,21;0,00;0,00;3.000.000,00
FV-6-1053;28/05/2023;900727477;CONSTRUCTORA OH SAS;2.521.008,40;0,00;2.521.008,40;478.991,60;63.025,21;0,00;0,00;3.000.000,00
FV-6-1079;08/06/2023;900727477;CONSTRUCTORA OH SAS;3.781.512,60;0,00;3.781.512,60;718.487,40;94.537,82;0,00;0,00;4.500.000,00
FV-6-1080;31/05/2023;900727477;CONSTRUCTORA OH SAS;2.521.008,40;0,00;2.521.008,40;478.991,60;63.025,21;0,00;0,00;3.000.000,00
FV-6-1081;30/05/2023;900727477;CONSTRUCTORA OH SAS;2.521.008,40;0,00;2.521.008,40;478.991,60;63.025,21;0,00;0,00;3.000.000,00
FV-6-1092;15/06/2023;900727477;CONSTRUCTORA OH SAS;2.773.109,24;0,00;2.773.109,24;526.890,76;69.327,73;0,00;0,00;3.300.000,00
FV-6-1116;27/06/2023;900727477;CONSTRUCTORA OH SAS;3.781.512,61;0,00;3.781.512,61;718.487,39;94.537,82;0,00;0,00;4.500.000,00
FV-6-1131;13/07/2023;900727477;CONSTRUCTORA OH SAS;1.691.596,75;0,00;1.691.596,75;321.403,38;42.289,92;0,00;0,00;2.013.000,13
FV-6-1134;11/07/2023;900727477;CONSTRUCTORA OH SAS;1.319.327,97;0,00;1.319.327,97;250.672,32;32.983,20;0,00;0,00;1.570.000,29
FV-6-1135;15/07/2023;900727477;CONSTRUCTORA OH SAS;2.521.008,40;0,00;2.521.008,40;478.991,60;63.025,21;0,00;0,00;3.000.000,00
FV-6-1136;05/07/2023;900727477;CONSTRUCTORA OH SAS;2.521.008,40;0,00;2.521.008,40;478.991,60;63.025,21;0,00;0,00;3.000.000,00
FV-6-1137;08/07/2023;900727477;CONSTRUCTORA OH SAS;3.781.512,60;0,00;3.781.512,60;718.487,40;94.537,82;0,00;0,00;4.500.000,00
FV-6-1138;11/07/2023;900727477;CONSTRUCTORA OH SAS;2.773.109,24;0,00;2.773.109,24;526.890,76;69.327,73;0,00;0,00;3.300.000,00
FV-6-1139;07/07/2023;900727477;CONSTRUCTORA OH SAS;3.305.714,32;0,00;3.305.714,32;628.085,73;82.642,86;0,00;0,00;3.933.800,05
FV-6-1140;07/07/2023;900727477;CONSTRUCTORA OH SAS;1.071.428,61;0,00;1.071.428,61;203.571,43;26.785,72;0,00;0,00;1.275.000,04
FV-6-1141;06/07/2023;900727477;CONSTRUCTORA OH SAS;1.116.386,56;0,00;1.116.386,56;212.113,44;27.909,66;0,00;0,00;1.328.500,00
FV-6-1143;15/07/2023;900727477;CONSTRUCTORA OH SAS;3.781.512,61;0,00;3.781.512,61;718.487,39;94.537,82;0,00;0,00;4.500.000,00
FV-6-1144;15/07/2023;900727477;CONSTRUCTORA OH SAS;2.543.697,49;0,00;2.543.697,49;483.302,53;63.592,44;0,00;0,00;3.027.000,02
FV-6-1198;14/08/2023;900727477;CONSTRUCTORA OH SAS;3.853.782,25;0,00;3.853.782,25;732.218,63;96.344,56;0,00;0,00;4.586.000,88
FV-6-1211;22/08/2023;900727477;CONSTRUCTORA OH SAS;2.680.672,27;0,00;2.680.672,27;509.327,73;67.016,81;0,00;0,00;3.190.000,00
FV-6-679;07/01/2023;901491037;AGROINDUSTRIAS OBL SAS;1.134.453,78;0,00;1.134.453,78;215.546,22;28.361,34;0,00;0,00;1.350.000,00
FV-6-726;20/01/2023;901491037;AGROINDUSTRIAS OBL SAS;3.854.118,00;0,00;3.854.118,00;245.882,42;96.352,95;0,00;0,00;4.100.000,42
FV-6-802;13/02/2023;901491037;AGROINDUSTRIAS OBL SAS;2.134.874,09;0,00;2.134.874,09;405.626,09;53.371,85;0,00;0,00;2.540.500,18
FV-6-903;04/04/2023;901491037;AGROINDUSTRIAS OBL SAS;1.462.521,01;0,00;1.462.521,01;247.478,99;36.563,03;0,00;0,00;1.710.000,00
FV-6-986;09/05/2023;901491037;AGROINDUSTRIAS OBL SAS;4.289.579,96;0,00;4.289.579,96;567.420,18;107.239,50;0,00;0,00;4.857.000,14
FV-6-1503;30/11/2023;901491037;AGROINDUSTRIAS OBL SAS;2.240.000,00;0,00;2.240.000,00;0,00;56.000,00;0,00;0,00;2.184.000,00
NC-2-46;30/11/2023;901491037;AGROINDUSTRIAS OBL SAS;-2.240.000,00;0,00;-2.240.000,00;0,00;-56.000,00;0,00;0,00;-2.184.000,00
FV-6-1504;30/11/2023;901491037;AGROINDUSTRIAS OBL SAS;2.520.000,00;0,00;2.520.000,00;0,00;63.000,00;0,00;0,00;2.457.000,00
FV-6-686;12/01/2023;860028920;FUNDACION ANTONIO RESTREPO BARCO;9.739.944,66;0,00;9.739.944,66;1.266.056,15;243.498,62;0,00;0,00;11.006.000,81
NC-2-17;13/01/2023;860028920;FUNDACION ANTONIO RESTREPO BARCO;-3.047.619,20;0,00;-3.047.619,20;-152.380,96;-76.190,48;0,00;0,00;-3.200.000,16
NC-2-18;13/01/2023;860028920;FUNDACION ANTONIO RESTREPO BARCO;-255.742,31;0,00;-255.742,31;-19.257,70;-6.393,56;0,00;0,00;-275.000,01
FV-6-805;14/02/2023;800156270;IETA SAN JOSE DE CLEMENCIA;32.352,95;0,00;32.352,95;6.147,06;808,82;0,00;0,00;38.500,01
FV-6-1111;28/06/2023;800156270;IETA SAN JOSE DE CLEMENCIA;5.367.332,48;0,00;5.367.332,48;691.568,17;134.183,31;0,00;0,00;6.058.900,65
FV-6-1156;27/07/2023;800156270;IETA SAN JOSE DE CLEMENCIA;17.317.324,70;0,00;17.317.324,70;3.245.726,69;432.933,12;0,00;0,00;20.563.051,39
NC-2-32;27/07/2023;800156270;IETA SAN JOSE DE CLEMENCIA;-17.317.324,70;0,00;-17.317.324,70;-3.245.726,69;-432.933,12;0,00;0,00;-20.563.051,39
FV-6-1158;27/07/2023;800156270;IETA SAN JOSE DE CLEMENCIA;9.797.255,57;0,00;9.797.255,57;1.575.718,56;244.931,39;0,00;0,00;11.372.974,13
NC-2-33;27/07/2023;800156270;IETA SAN JOSE DE CLEMENCIA;-5.367.332,48;0,00;-5.367.332,48;-691.568,17;-134.183,31;0,00;0,00;-6.058.900,65
FV-6-1367;09/10/2023;800156270;IETA SAN JOSE DE CLEMENCIA;5.280.084,11;0,00;5.280.084,11;974.715,99;132.002,10;0,00;0,00;6.254.800,10
FV-6-1112;28/06/2023;806013264;INSTITUCION EDUCATIVA TECNICA AGROPECUARIA SOSTENIBLE Y AMBIENTAL FELPE SANTIAGO ESCOBAR;9.298.998,35;0,00;9.298.998,35;1.758.601,69;232.474,96;0,00;0,00;11.057.600,04
